word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
бог	0.0	0	-1.0	-1.0	31/2/1	cosine	average
время	0.030330466274332276	2	0.09889287551747522	0.04851564304848668	14/11/4/2/2/2	cosine	average
год	0.26366120218579236	3	0.2032015486648254	0.11327668228080515	22/6/5	cosine	average
голова	0.041229454916891076	2	0.10322746690853522	0.05410664258729707	22/11/1/1	cosine	average
город	0.02525050100200401	4	0.09205709960200505	0.04892258783311447	31/1	cosine	average
государство	-0.06804484017070649	2	0.0796299959805389	0.04085823583827563	33/1/1	cosine	average
дело	0.006899557747916312	3	0.054645395583303766	0.031119305434428028	7/6/6/3/3/2/2/2/2/1/1	cosine	average
день	0.143889677987738	3	0.1600192903386836	0.08533977421902744	25/2/2/2/1	cosine	average
друг	0.11132993206270321	2	0.14110388136005783	0.10225552254587952	26/8/1	cosine	average
жена	0.0	1	-1.0	-1.0	34/1	cosine	average
женщина	1.0	0	-1.0	-1.0	35	cosine	average
жизнь	0.007707850033675073	3	0.08996867559497086	0.04797333044277623	27/6/1/1	cosine	average
лицо	-0.030534351145038167	2	0.10859929232320811	0.05831018386452444	23/11/1	cosine	average
место	0.2767464289586769	3	0.08119641342439506	0.04326027113444663	25/6/3/1	cosine	average
мир	0.30109699185842137	4	0.052777195557100295	0.030271016752737002	25/4/3/1/1	cosine	average
ночь	0.0	2	0.14065989142279114	0.06940279613623035	35	cosine	average
работа	0.05057225153577528	2	0.06218865111028298	0.033680936914576666	20/7/4/3/1	cosine	average
результат	-0.044406122009053674	3	0.11807109650512232	0.06287005675334294	33/2	cosine	average
рука	0.9915351894268114	2	0.10973956572644586	0.062462638296666095	33/1/1	cosine	average
сила	0.2307590828738028	2	0.07599355708072911	0.03927969237363915	15/10/6/2/1/1	cosine	average
слово	0.017704842504785462	2	0.07758069275706805	0.04035851231295898	19/15/1	cosine	average
сторона	0.4396784381280505	3	0.10759431442097174	0.05652023167522485	25/4/3/2/1	cosine	average
тысяча	0.0	0	-1.0	-1.0	29/5/1	cosine	average
человек	0.0	1	-1.0	-1.0	33/1/1	cosine	average
