word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	2	0.195496105502422	0.1065473302138098	99	cosine	average
bag	-0.0101010101010101	2	0.2053986493804471	0.1112419268288095	99/1	cosine	average
ball	0.3755831659788581	5	0.127043998574179	0.0715845282620732	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.4034598214285714	9	0.2771197560037227	0.1602674460355796	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	-0.0119875530654277	6	0.0909691899492717	0.0505337278654125	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.2621713127001391	0.1447606125004867	100	cosine	average
chef	-0.0173145122036019	2	0.2143154846861153	0.1173970962239642	94/1	cosine	average
contemplation	0.0	2	0.1248646864052759	0.0678828496827208	100	cosine	average
donkey	-0.0158945024234749	2	0.2582316932110153	0.1427579907951184	98/1	cosine	average
edge	0.4558400784548849	2	0.1871376051076351	0.1027324651608073	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.6922742020134548	2	0.2214891852223913	0.1230012884810887	89/6/1/1/1/1	cosine	average
fiction	0.0	2	0.2166080949553691	0.1181531806059149	98	cosine	average
graft	0.7086661262243013	2	0.25320340820012	0.1401902594978437	51/43/1/1/1	cosine	average
grain	0.5072742050548538	3	0.1690970114102116	0.0922322631455525	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.7115045056209696	2	0.3377726460106431	0.1930122365732998	83/10/1/1/1/1/1/1	cosine	average
heel	0.0117584032489946	2	0.2371519523183229	0.1320508302723442	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
land	0.8324128832134947	2	0.1846496696616132	0.1015906311077351	79/9/3/1/1	cosine	average
lane	0.0	2	0.1771247694834059	0.096546176463956	82	cosine	average
maxim	0.8281104166077439	2	0.2928216773169203	0.1654793300653844	63/1/1/1	cosine	average
multitude	0.0459149622363351	3	0.151224676015362	0.0828277835776499	96/2/1/1	cosine	average
ounce	-0.0129923826789434	3	0.305013856627108	0.174187379801976	99/1	cosine	average
part	-0.1225048296695228	2	0.1031724060909351	0.0548492423478298	77/10/5/2/2/1/1/1/1	cosine	average
plane	0.8574027808629111	2	0.217499920768489	0.1192107790406147	88/4/2/1/1/1/1/1	cosine	average
player	0.5819152515624954	3	0.1343117601601119	0.0731671304210814	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.355572697500612	5	0.1554544779230668	0.0852521263388692	31/14/14/11/4/2/2/1/1	cosine	average
quilt	-0.014906438312718	2	0.2014217553802411	0.1105704303383181	97/3	cosine	average
rag	0.0978613091380427	2	0.2125128083563251	0.116749383934288	72/4/3/2/2/1/1/1/1	cosine	average
rally	-0.0187167489263508	2	0.1949861777210055	0.1062265758362488	85/2/2/1/1/1	cosine	average
record	0.3766796460324499	6	0.1739533666678923	0.09490094375845	64/16/10/1	cosine	average
relationship	0.061771987880813	4	0.0902548858713804	0.0479871476206319	93/7	cosine	average
risk	0.0	2	0.144947464987379	0.0780033731132456	100	cosine	average
savage	0.0076959953430239	4	0.2173473125673563	0.1207180975370301	96/1	cosine	average
stab	0.1821399341582908	7	0.1754850316677766	0.1008127107170605	48/21/20/4/2/1/1/1	cosine	average
thump	0.488511174063582	2	0.2502381131994157	0.1394486807792712	97/1/1/1	cosine	average
tree	0.0	2	0.1365720217503614	0.0739716326528186	100	cosine	average
twist	0.0195823717195726	2	0.1214370258349241	0.0654267861258421	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
