word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
балка	0.8348684929363458	2	0.1611716757667182	0.08641226460444858	81/38	cosine	average
вид	0.42003648629036894	8	0.0839386431689411	0.04533557530546391	38/36/3	cosine	average
винт	0.2619824669802718	2	0.17534522947854891	0.09532092530158809	67/39/16/1	cosine	average
горн	0.3349478390461997	5	0.11310899873362804	0.060679172158481884	30/20/1	cosine	average
губа	0.9951284201983355	2	0.17765766988969284	0.09546510121507698	132/3/2	cosine	average
жаба	0.4054776572026332	3	0.13833750138692838	0.07609151135146315	79/27/9/6	cosine	average
клетка	0.7542830315927944	2	0.1838596854869286	0.09977689078939013	96/38/7/4/4/1	cosine	average
крыло	0.43811530750030686	6	0.13601394280351206	0.07414415924270698	51/19/7/5/4/3/1/1	cosine	average
купюра	-0.011449081120374367	2	0.15866600982155643	0.08533661996591839	138/12	cosine	average
курица	-0.019117266000633404	2	0.17468435950891095	0.09613434075606725	62/31	cosine	average
лавка	0.7017687222029947	2	0.19150608649514853	0.10481157428265934	82/67	cosine	average
лайка	0.95252646356216	2	0.13631993944462586	0.07321387409787698	81/18	cosine	average
лев	0.3843006903605216	2	0.17401852469677256	0.09530104666494102	36/4/2/2	cosine	average
лира	0.9172472028710155	2	0.20924996278828395	0.11575241856563322	33/16	cosine	average
мина	0.506631595813822	4	0.1594917336763829	0.08707686557597973	51/12/2	cosine	average
мишень	0.2692661958857845	5	0.10101473471001468	0.05448271278960555	88/33	cosine	average
обед	0.10798178089235026	8	0.14572679420042262	0.07908776257643088	62/19/17/2	cosine	average
оклад	0.5938396281802748	2	0.15435660983792893	0.08242140519609352	137/5/4	cosine	average
опушка	1.0	2	0.21529959370551827	0.11788064873310246	142/6	cosine	average
полис	0.8472395512219258	2	0.13204629515431585	0.07025461214848303	139/3	cosine	average
пост	0.4355768353024727	6	0.12742034595496932	0.06942621699719345	98/32/10/2/2	cosine	average
поток	-0.013522981283571135	3	0.11066402053167991	0.05948606556466823	124/12	cosine	average
проказа	0.8660984518672253	2	0.1668222414539181	0.0903479659934575	95/51	cosine	average
пропасть	0.3689603898579158	5	0.13892284274535097	0.07560022630110622	92/25/7/3	cosine	average
проспект	0.47099840783770636	2	0.1742867327760584	0.09566621850379703	117/12/6/4	cosine	average
пытка	0.04531508556931356	2	0.1020551879092923	0.054460231989361355	116/27	cosine	average
рысь	0.9002198226416843	2	0.19864178371671082	0.11028532331534364	82/38	cosine	average
среда	0.48596759657102134	2	0.2562075536765285	0.14639464454385054	52/47/32/13	cosine	average
хвост	0.5988234193948772	3	0.1677645088397719	0.09125172877477172	100/12/8/1	cosine	average
штамп	0.6145902210327441	6	0.14172221060106216	0.08284147530574672	47/45/3/1	cosine	average
