word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.09519385303502559	0.05355546828368912	99	cosine	average
bag	0.0023384325969665696	4	0.10795102237901956	0.0593938616796131	95/1	cosine	average
ball	0.5682091014684603	3	0.10171804466895491	0.05553659019791696	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.07824500849925617	4	0.1017539962014677	0.05578296311622583	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.11951461821289551	3	0.11339618176794888	0.06466989856255123	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.17931624175020902	0.09851377081956128	99	cosine	average
chef	0.028538812785388126	2	0.10952830343386709	0.059727465894972374	19/11/7/3/1/1/1/1/1/1	cosine	average
circle	0.2688946173203216	4	0.17995203984519365	0.10563663808044711	90/1/1/1/1/1/1/1/1/1	cosine	average
contemplation	-0.004792304927516388	4	0.13244678837250443	0.07189754313558001	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.2194677991729258	5	0.1443857795361459	0.08051826258287986	88/3/2/2/1/1/1/1/1	cosine	average
face	-0.02560677806171304	4	0.11704669167635484	0.06304234961297864	94/3/1/1	cosine	average
fiction	-0.0020651620486026845	3	0.09844961995138199	0.053787103199262214	94/1/1/1	cosine	average
graft	-0.008596562031413544	5	0.11484579652872565	0.06327263985064516	96/1	cosine	average
grain	-0.005108710955570305	2	0.07227954611843194	0.03946411332522682	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.4346595561941807	3	0.12986603674669908	0.07108690515465474	77/9/6/2/2/2/1	cosine	average
heel	0.08143059675247706	5	0.13710153663515454	0.07567773135146849	81/6/1/1/1/1/1/1/1/1	cosine	average
include	0.0	5	0.10263737953029302	0.05512145782016459	100	cosine	average
land	0.46341614411267235	2	0.09754587288586795	0.052711940483368976	90/3/1/1	cosine	average
lane	0.024653315085974282	5	0.15599707626084502	0.0858638392358466	83/1/1/1	cosine	average
maxim	0.0	5	0.10340510034111045	0.055925671140391965	97	cosine	average
multitude	1.0	1	-1.0	-1.0	99	cosine	average
ounce	0.6597938144329897	2	0.2040685501587632	0.11431711890351172	97/1/1	cosine	average
part	0.01660520068090294	3	0.0937932538629053	0.05092377446600623	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
pick	0.06657069038651876	5	0.08524195180128755	0.04618953530835146	40/18/9/9/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	0.0022717196947579406	3	0.12066068787238193	0.06501036485615037	85/7/3/1	cosine	average
plane	0.09398791965867002	3	0.0884977088872038	0.04927660290565676	64/15/10/4/4/2	cosine	average
player	0.15697767738468688	3	0.09143014401251545	0.04961122699593962	76/6/2/1/1/1	cosine	average
prop	-0.002111047552444193	5	0.15450685027968236	0.08392848059060377	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	5	0.17928162851121882	0.10266154878381722	99	cosine	average
rag	0.0667944612749025	4	0.07818384611777936	0.04305409754552375	84/7/2/2/1/1/1	cosine	average
rally	-0.03125372778241679	4	0.15088044771163864	0.08216662652894453	30/7/2	cosine	average
record	-0.014258631011774096	4	0.10130989889068247	0.05559993467450229	92/1	cosine	average
relationship	0.0	0	-1.0	-1.0	94/4	cosine	average
risk	0.0	2	0.11059631799802463	0.060625556567104125	99	cosine	average
savage	0.0	3	0.0852689696628375	0.04688206611783822	99	cosine	average
stab	-0.00038865535475028894	3	0.14988062757272386	0.0818773435740429	73/13/1/1/1	cosine	average
stroke	0.6681945830207229	2	0.16259008148514437	0.08927796853313842	84/5/2/2/2/1/1/1	cosine	average
thump	0.009483786442537412	3	0.1495227302738313	0.08263776376326773	88/1	cosine	average
tip	0.11911785952052584	4	0.1434020809915647	0.08483557197202023	37/33/5/4/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
tree	0.0	3	0.12066638061581278	0.06608125244663932	99	cosine	average
twist	0.0	1	-1.0	-1.0	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
