word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
дар	0.0	1	-1.0	-1.0	15/13/8	cosine	average
двигатель	0.0	1	-1.0	-1.0	8/6	cosine	average
двойник	0.0	1	-1.0	-1.0	7/7/6/5	cosine	average
дворец	0.0	1	-1.0	-1.0	7/6	cosine	average
девятка	0.0	1	-1.0	-1.0	7/6/6/5/5/5/5/4/4	cosine	average
дедушка	0.0	1	-1.0	-1.0	5/4	cosine	average
дежурная	0.0	1	-1.0	-1.0	6/6	cosine	average
дежурный	0.0	1	-1.0	-1.0	7/6	cosine	average
декабрист	0.0	1	-1.0	-1.0	7/4	cosine	average
декрет	0.0	1	-1.0	-1.0	6/6	cosine	average
дело	0.058414991180029	2	0.07729185689806795	0.04210141295116383	11/10/9/9/8/8/8/8/8/7/7/7/7/6/6/5/5	cosine	average
демобилизация	0.0	1	-1.0	-1.0	8/6	cosine	average
демократ	0.0	1	-1.0	-1.0	7/6/5	cosine	average
демонстрация	0.0	1	-1.0	-1.0	8/8/7/7/7	cosine	average
дерево	0.0	1	-1.0	-1.0	9/8/4	cosine	average
держава	0.0	1	-1.0	-1.0	8/7	cosine	average
дерзость	0.0	1	-1.0	-1.0	7/6/6/5/5/4/4	cosine	average
десятка	0.0	1	-1.0	-1.0	7/7/6/5/4/4/3	cosine	average
десяток	0.0	1	-1.0	-1.0	11/8	cosine	average
деятель	0.0	1	-1.0	-1.0	7/7	cosine	average
диалог	0.0	1	-1.0	-1.0	7/7	cosine	average
диаметр	0.0	1	-1.0	-1.0	7/6/5	cosine	average
диплом	0.0	1	-1.0	-1.0	8/7/6/4	cosine	average
директор	0.0	1	-1.0	-1.0	7/4	cosine	average
диск	0.0	1	-1.0	-1.0	8/8/7/7/6/6/6/5/5/4	cosine	average
дичь	0.0	1	-1.0	-1.0	6/6/6	cosine	average
длина	0.0	1	-1.0	-1.0	11/5/5	cosine	average
доброволец	0.0	1	-1.0	-1.0	7/5	cosine	average
добыча	0.0	1	-1.0	-1.0	8/7/7/5/5/3	cosine	average
доказательство	0.0	1	-1.0	-1.0	9/9/6	cosine	average
доктор	0.0	1	-1.0	-1.0	9/8	cosine	average
долгота	0.0	1	-1.0	-1.0	7/6	cosine	average
доля	0.0	1	-1.0	-1.0	8/8/7/7/6/5/4	cosine	average
дом	0.03912495610320395	2	0.09381881846990411	0.049949422501073884	6/6/6/4/4/4/3/3	cosine	average
дорога	0.0	1	-1.0	-1.0	10/9/8/6/5/5/4	cosine	average
достижение	0.0	1	-1.0	-1.0	7/7/5/3	cosine	average
древесина	0.0	1	-1.0	-1.0	9/7	cosine	average
дупло	0.0	1	-1.0	-1.0	9/6	cosine	average
дура	0.0	1	-1.0	-1.0	8/3/1	cosine	average
дух	0.0	1	-1.0	-1.0	11/9/9/8/7/7/6/5/5/4/4	cosine	average
дым	0.0	1	-1.0	-1.0	10/9/9	cosine	average
дымка	0.0	1	-1.0	-1.0	9/9	cosine	average
дыхание	0.0	1	-1.0	-1.0	11/9/8/8/7/7/5	cosine	average
дьявол	0.0	1	-1.0	-1.0	8/6/5/3	cosine	average
евро	0.0	1	-1.0	-1.0	7/1	cosine	average
езда	0.0	1	-1.0	-1.0	9/5	cosine	average
жаворонок	0.0	1	-1.0	-1.0	6/4	cosine	average
жало	0.0	1	-1.0	-1.0	6/5	cosine	average
жертва	0.0	1	-1.0	-1.0	10/8/8/7/4	cosine	average
жестокость	0.0	1	-1.0	-1.0	8/6	cosine	average
жидкость	0.0	1	-1.0	-1.0	6/6	cosine	average
жила	0.0	1	-1.0	-1.0	5/1/1	cosine	average
жилец	0.0	1	-1.0	-1.0	9/7	cosine	average
жир	0.0	1	-1.0	-1.0	8/7	cosine	average
жребий	0.0	1	-1.0	-1.0	8/7	cosine	average
заведение	0.0	1	-1.0	-1.0	6/4/1	cosine	average
завещание	0.0	1	-1.0	-1.0	10/6	cosine	average
зависимость	0.0	1	-1.0	-1.0	8/7/6	cosine	average
заголовок	0.0	1	-1.0	-1.0	7/6/5/4	cosine	average
заготовка	0.0	1	-1.0	-1.0	8/7/6/5	cosine	average
задание	0.0	1	-1.0	-1.0	9/8/7/5/4	cosine	average
задача	0.0	1	-1.0	-1.0	10/8/7/6/5	cosine	average
задержка	0.0	1	-1.0	-1.0	9/9/8/6/5/5/5/4/4	cosine	average
зажигалка	0.0	1	-1.0	-1.0	7/6	cosine	average
закон	0.0	1	-1.0	-1.0	9/9/9/8/7/7/7	cosine	average
закрытие	0.0	1	-1.0	-1.0	7/6/5/5/4/4/4/2	cosine	average
заложник	0.0	1	-1.0	-1.0	7/6	cosine	average
замена	0.0	1	-1.0	-1.0	9/7	cosine	average
западня	0.0	1	-1.0	-1.0	7/4	cosine	average
запятая	0.0	1	-1.0	-1.0	9/5	cosine	average
застой	0.0	1	-1.0	-1.0	7/6	cosine	average
затея	0.0	1	-1.0	-1.0	9/3	cosine	average
затишье	0.0	1	-1.0	-1.0	6/5/5	cosine	average
затмение	0.0	1	-1.0	-1.0	7/5	cosine	average
затруднение	0.0	1	-1.0	-1.0	9/6	cosine	average
захоронение	0.0	1	-1.0	-1.0	8/8/4/2	cosine	average
звезда	0.0	1	-1.0	-1.0	15/11/8/6	cosine	average
звон	0.0	1	-1.0	-1.0	9/5	cosine	average
зеркало	0.0	1	-1.0	-1.0	10/5/5	cosine	average
зло	0.0	1	-1.0	-1.0	9/8/6	cosine	average
злоупотребление	0.0	1	-1.0	-1.0	7/5	cosine	average
знак	0.0	1	-1.0	-1.0	10/9/8/8/8/7/5	cosine	average
знамя	0.0	1	-1.0	-1.0	9/5	cosine	average
значение	0.0	1	-1.0	-1.0	10/8/6/6	cosine	average
зонт	0.0	1	-1.0	-1.0	5/4	cosine	average
