word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.1475094268651189	0.0809595822093547	99	cosine	average
bag	-0.0168693605335425	2	0.1355122023750668	0.0711162685710615	95/1	cosine	average
ball	0.6144800516574646	3	0.2823045233229287	0.1594941471507548	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1431730065790983	9	0.2261790347360418	0.1268289300127843	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.0751799985276668	9	0.1619739896657582	0.0908325699921414	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.1651030887195124	0.089359930157775	99	cosine	average
chef	0.3678620652379537	6	0.2772265926839479	0.1569366051987094	19/11/7/3/1/1/1/1/1/1	cosine	average
contemplation	-0.0163747424197821	2	0.1118015243966259	0.0608835513440994	98/1	cosine	average
donkey	-0.0136459316251723	2	0.2143436020324096	0.1173121364764808	97/1	cosine	average
edge	0.0064981471097884	2	0.1683052062999797	0.0921451065824769	88/3/2/2/1/1/1/1/1	cosine	average
face	-0.0166857516767544	2	0.2610319877794453	0.1412911027493202	94/3/1/1	cosine	average
fiction	-0.0155791942373733	2	0.1666748713108652	0.0933764009129303	94/1/1/1	cosine	average
graft	-0.0104166666666666	2	0.183367127382153	0.0992595301852671	96/1	cosine	average
grain	0.5315218512838942	2	0.2839487873499984	0.160034373662916	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.0770595561571552	2	0.2195941881955416	0.1200112812113485	77/9/6/2/2/2/1	cosine	average
heel	0.0382900360011257	2	0.1937035675709164	0.1045432942044756	81/6/1/1/1/1/1/1/1/1	cosine	average
land	0.6880984489954757	2	0.2221738843886803	0.1189730210630851	90/3/1/1	cosine	average
lane	0.035352281680136	4	0.2567876870788414	0.147224878579161	83/1/1/1	cosine	average
maxim	0.0	2	0.2064044824714662	0.114778321256258	97	cosine	average
multitude	0.0	3	0.1462580228266489	0.0786467971840331	99	cosine	average
ounce	0.0050213431234138	2	0.3236746698154762	0.1835643710714888	97/1/1	cosine	average
part	0.0129219280811035	9	0.1367990192539482	0.0746909005833776	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
plane	0.0323212239415349	2	0.219430358874806	0.1149139839770981	64/15/10/4/4/2	cosine	average
player	-0.0367944914579667	2	0.1892584470836825	0.1011680619080125	76/6/2/1/1/1	cosine	average
prop	0.0306928171166581	2	0.1577383115586764	0.083169422201813	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	3	0.3422681446807055	0.1936513180194888	99	cosine	average
rag	-0.0333240279966702	2	0.237075718281892	0.138299723984976	84/7/2/2/1/1/1	cosine	average
rally	-0.0304298283888262	9	0.1622625453687605	0.0878356785352421	30/7/2	cosine	average
record	-0.0160191493279322	2	0.1363248806527283	0.0716171920739136	92/1	cosine	average
relationship	-0.0160535117056856	2	0.1393480176038684	0.0721212978918234	94/4	cosine	average
risk	0.0	2	0.229142018401102	0.1273735091869557	99	cosine	average
savage	0.0	3	0.2883952231708828	0.1636847033119572	99	cosine	average
stab	-0.0484793323144029	2	0.1742812714168545	0.0945131297191141	73/13/1/1/1	cosine	average
thump	-0.0113636363636363	2	0.2633850017130074	0.1615596710617885	88/1	cosine	average
tree	0.0	2	0.1775302938138248	0.0914638386338406	99	cosine	average
twist	0.2262537838501186	9	0.1260896664446086	0.0725260840844229	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
