word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.14750942686511895	0.08095958220935474	99	cosine	average
bag	-0.016869360533542564	2	0.13551220237506686	0.07111626857106156	95/1	cosine	average
ball	0.6144800516574646	3	0.2823045233229287	0.15949414715075483	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1431730065790983	9	0.2261790347360418	0.12682893001278436	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.07517999852766682	9	0.16197398966575827	0.09083256999214147	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.16510308871951246	0.08935993015777503	99	cosine	average
chef	0.3678620652379537	6	0.27722659268394795	0.15693660519870947	19/11/7/3/1/1/1/1/1/1	cosine	average
circle	0.015273718945514018	7	0.19725341430997978	0.10991155204416375	90/1/1/1/1/1/1/1/1/1	cosine	average
contemplation	-0.01637474241978216	2	0.11180152439662593	0.06088355134409947	98/1	cosine	average
donkey	-0.01364593162517239	2	0.2143436020324096	0.1173121364764808	97/1	cosine	average
edge	0.006498147109788434	2	0.1683052062999797	0.09214510658247697	88/3/2/2/1/1/1/1/1	cosine	average
face	-0.016685751676754457	2	0.2610319877794453	0.14129110274932022	94/3/1/1	cosine	average
fiction	-0.015579194237373315	2	0.16667487131086528	0.09337640091293037	94/1/1/1	cosine	average
graft	-0.010416666666666666	2	0.18336712738215305	0.09925953018526716	96/1	cosine	average
grain	0.5315218512838942	2	0.2839487873499984	0.16003437366291606	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.07705955615715523	2	0.21959418819554163	0.12001128121134857	77/9/6/2/2/2/1	cosine	average
heel	0.038290036001125745	2	0.19370356757091645	0.10454329420447567	81/6/1/1/1/1/1/1/1/1	cosine	average
include	0.0	2	0.12707332043534875	0.06976229492286375	100	cosine	average
land	0.6880984489954757	2	0.22217388438868035	0.11897302106308512	90/3/1/1	cosine	average
lane	0.03535228168013602	4	0.2567876870788414	0.14722487857916106	83/1/1/1	cosine	average
maxim	0.0	2	0.20640448247146623	0.11477832125625806	97	cosine	average
multitude	0.0	3	0.1462580228266489	0.07864679718403317	99	cosine	average
ounce	0.00502134312341389	2	0.3236746698154762	0.18356437107148885	97/1/1	cosine	average
part	0.012921928081103512	9	0.13679901925394827	0.07469090058337766	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
pick	0.04085663733867728	2	0.1453600052718989	0.07790476969483115	40/18/9/9/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	-0.030556192930027343	7	0.16616135518561784	0.09195878140031262	85/7/3/1	cosine	average
plane	0.032321223941534936	2	0.219430358874806	0.11491398397709812	64/15/10/4/4/2	cosine	average
player	-0.036794491457966774	2	0.18925844708368256	0.1011680619080125	76/6/2/1/1/1	cosine	average
prop	0.030692817116658177	2	0.15773831155867643	0.083169422201813	39/38/2/2/1/1/1/1/1	cosine	average
quilt	0.0	3	0.34226814468070554	0.19365131801948884	99	cosine	average
rag	-0.033324027996670245	2	0.23707571828189203	0.138299723984976	84/7/2/2/1/1/1	cosine	average
rally	-0.030429828388826283	9	0.1622625453687605	0.08783567853524217	30/7/2	cosine	average
record	-0.01601914932793224	2	0.13632488065272833	0.07161719207391369	92/1	cosine	average
relationship	-0.016053511705685617	2	0.13934801760386842	0.07212129789182342	94/4	cosine	average
risk	0.0	2	0.229142018401102	0.12737350918695578	99	cosine	average
savage	0.0	3	0.2883952231708828	0.16368470331195722	99	cosine	average
stab	-0.04847933231440298	2	0.17428127141685457	0.09451312971911412	73/13/1/1/1	cosine	average
stroke	0.2739817827632472	5	0.260024858777637	0.14589505118539717	84/5/2/2/2/1/1/1	cosine	average
thump	-0.011363636363636364	2	0.2633850017130074	0.1615596710617885	88/1	cosine	average
tip	0.2573474427519668	3	0.16340293139368012	0.09099719655049193	37/33/5/4/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
tree	0.0	2	0.1775302938138248	0.09146383863384067	99	cosine	average
twist	0.22625378385011863	9	0.12608966644460867	0.07252608408442295	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
