word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	6	0.12470251292481148	0.06705718516449338	99	cosine	average
bag	-0.017108479037413048	4	0.07334577151808856	0.03983040693097182	99/1	cosine	average
ball	0.49299381179315743	3	0.12159421023515302	0.0696704501945777	85/3/3/2/1/1/1/1/1/1	cosine	average
bar	0.5955418577981652	4	0.2714104483938706	0.1570837604799994	51/8/5/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	-0.08648911236055647	3	0.06184225146833988	0.03252966735404551	69/16/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
chairman	0.0	2	0.26057514641255475	0.14624405789837452	100	cosine	average
chef	-0.017314512203601976	2	0.2184811894136407	0.11913896077624375	94/1	cosine	average
circle	0.046656171991557416	4	0.12727296577597794	0.06949702635534145	97/1/1	cosine	average
contemplation	0.0	4	0.04252631655008503	0.02553800887237131	100	cosine	average
donkey	0.0	1	-1.0	-1.0	98/1	cosine	average
edge	0.5196020497058845	5	0.14320578686370936	0.07608249470725717	71/8/6/4/2/1/1/1/1/1/1	cosine	average
face	0.7622962251175406	4	0.15705599872225198	0.08731077075154865	89/6/1/1/1/1	cosine	average
fiction	0.0	3	0.1475044030095643	0.08007836838931245	98	cosine	average
graft	0.7058541293503539	5	0.16273939943126056	0.08853916629843514	51/43/1/1/1	cosine	average
grain	-0.03112909550466009	2	0.15028816533415656	0.0824281640311055	68/5/3/3/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.6104833140749997	3	0.32501207701388835	0.1827737825774842	83/10/1/1/1/1/1/1	cosine	average
heel	0.1705997483771173	5	0.1406771072287147	0.07893477677846071	56/6/6/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
include	-0.01720869184774683	5	0.06145798292194649	0.03473779044427546	99/1	cosine	average
land	0.8324128832134947	2	0.1960168941983817	0.10499994371605617	79/9/3/1/1	cosine	average
lane	0.0	5	0.14819560856236974	0.08129686187750049	82	cosine	average
maxim	0.6260586429125755	5	0.07149544547701395	0.04503317670454239	63/1/1/1	cosine	average
multitude	0.0	1	-1.0	-1.0	96/2/1/1	cosine	average
ounce	-0.014400226998652196	2	0.25625986995930716	0.14466739906062503	99/1	cosine	average
part	-0.12555807405561667	3	0.08556460933677235	0.048677705039756214	77/10/5/2/2/1/1/1/1	cosine	average
pick	-0.0015434085751981099	5	0.10175353609955647	0.0556670409429251	54/14/6/3/3/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	-0.04394113769939792	3	0.10198526259930692	0.05895605788611512	71/17/4/1/1/1/1/1/1	cosine	average
plane	0.5806689269699074	3	0.16605890334799397	0.08966372762394519	88/4/2/1/1/1/1/1	cosine	average
player	0.5448935016198309	3	0.13116242653983165	0.0714383745552058	79/7/4/1/1/1/1/1/1	cosine	average
prop	0.35073236658508966	5	0.15754720903106575	0.08624189242195207	31/14/14/11/4/2/2/1/1	cosine	average
quilt	0.12892832611592547	5	0.1469363156113499	0.07940439433664043	97/3	cosine	average
rag	0.2757802630589434	4	0.1402077089552807	0.0826754742304118	72/4/3/2/2/1/1/1/1	cosine	average
rally	0.1998709864990097	4	0.19414110809287569	0.10457935653095414	85/2/2/1/1/1	cosine	average
record	0.3781269160612247	4	0.1678193793991526	0.09133749497332462	64/16/10/1	cosine	average
relationship	0.0	0	-1.0	-1.0	93/7	cosine	average
risk	0.0	2	0.15719812730689461	0.0829088230555108	100	cosine	average
savage	-0.015507781883327736	3	0.17996010830665257	0.10249331983357121	96/1	cosine	average
stab	-0.03248273135780852	3	0.1473812600430118	0.08591809809611035	48/21/20/4/2/1/1/1	cosine	average
stroke	-0.03193978722890985	2	0.19184194514577793	0.10547565735770718	89/7/2/1	cosine	average
thump	0.3819487828208073	3	0.20616063443503016	0.11499372014556158	97/1/1/1	cosine	average
tip	0.2316730963830417	4	0.14858950616938243	0.08315901220895028	53/22/7/5/3/1/1/1/1/1/1	cosine	average
tree	0.0	3	0.1257293305473862	0.06635014787014669	100	cosine	average
twist	0.0	1	-1.0	-1.0	47/29/7/3/2/2/1/1/1/1/1/1	cosine	average
