word	ari	nc	sil_cosine	sil_euclidean	vc	affinity	linkage
afternoon	0.0	34	0.14951157697330988	0.0833776513908356	99	cosine	average
bag	0.001321311985076947	32	0.12338560247892986	0.06730842524085852	95/1	cosine	average
ball	0.20448824390934223	32	0.1406776712511904	0.0782494456430733	53/30/3/2/2/2/1/1/1/1/1	cosine	average
bar	0.1566803351756106	29	0.1510260452595418	0.08424161983465127	15/10/7/5/5/4/4/3/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
bit	0.03065708799204313	30	0.162331318028203	0.08978250324840252	64/16/9/2/1/1/1/1/1/1	cosine	average
chairman	0.0	32	0.16881888068591325	0.09949846971039028	99	cosine	average
chef	0.356687203533068	7	0.26668029562047585	0.15149235898851088	19/11/7/3/1/1/1/1/1/1	cosine	average
circle	0.006868198683562824	27	0.14628808185791492	0.08212617507675991	90/1/1/1/1/1/1/1/1/1	cosine	average
contemplation	0.0	1	-1.0	-1.0	98/1	cosine	average
donkey	0.0	1	-1.0	-1.0	97/1	cosine	average
edge	0.011372594039026802	33	0.1476784724928228	0.08191797428662953	88/3/2/2/1/1/1/1/1	cosine	average
face	0.009598431262197693	36	0.10980431239585645	0.059523983118420325	94/3/1/1	cosine	average
fiction	0.013345837541480306	21	0.13988102859290202	0.07592962536042633	94/1/1/1	cosine	average
graft	0.0	1	-1.0	-1.0	96/1	cosine	average
grain	0.11605178597618698	34	0.14753797520334866	0.08173891733002484	66/13/7/3/1/1/1/1/1/1/1/1/1/1	cosine	average
head	0.07365878367314882	32	0.12499243047686161	0.06824131259359091	77/9/6/2/2/2/1	cosine	average
heel	0.012319118356798405	31	0.1523021049448068	0.08447323157705162	81/6/1/1/1/1/1/1/1/1	cosine	average
include	0.0	32	0.15667826492521258	0.08589554463618387	100	cosine	average
land	0.00680943353008525	30	0.17898078209637308	0.09984552132012192	90/3/1/1	cosine	average
lane	0.010385062116247068	25	0.16621703636871404	0.09599784712542907	83/1/1/1	cosine	average
maxim	1.0	1	-1.0	-1.0	97	cosine	average
multitude	0.0	18	0.11405241815099677	0.06074588661611109	99	cosine	average
ounce	0.013042575827223362	13	0.12069687720477293	0.06666376026067775	97/1/1	cosine	average
part	0.009753908429669125	33	0.1410961837809273	0.07679874716259188	75/10/4/2/2/1/1/1/1/1/1/1	cosine	average
pick	0.03416169036271429	31	0.11857328222322407	0.06432100058618553	40/18/9/9/4/2/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
pin	-0.007129554273312789	29	0.14764008391581046	0.08094262537301265	85/7/3/1	cosine	average
plane	0.01319715583386845	33	0.15028064438735508	0.08242150333915751	64/15/10/4/4/2	cosine	average
player	0.004265330766789612	24	0.11928116470351773	0.06508501617636521	76/6/2/1/1/1	cosine	average
prop	0.056720562544538236	10	0.11893243655183915	0.06456903500719523	39/38/2/2/1/1/1/1/1	cosine	average
quilt	1.0	1	-1.0	-1.0	99	cosine	average
rag	0.048478230828921	3	0.17983411683904219	0.1002525668435209	84/7/2/2/1/1/1	cosine	average
rally	-0.06315593697691102	6	0.15150157519434654	0.0824848364895601	30/7/2	cosine	average
record	-0.0014450750606367464	30	0.10391200134501019	0.0561912139077701	92/1	cosine	average
relationship	-0.000844569008081859	35	0.08821505911361087	0.04662274540117559	94/4	cosine	average
risk	0.0	34	0.13703325920997328	0.07748811847071235	99	cosine	average
savage	0.0	8	0.19312855548704183	0.10773333439497994	99	cosine	average
stab	0.03135639807064832	18	0.14098644295600515	0.0773333942096164	73/13/1/1/1	cosine	average
stroke	0.06592402295793132	27	0.14787868382481018	0.08195417704204526	84/5/2/2/2/1/1/1	cosine	average
thump	0.008576531836375615	11	0.18432052668787063	0.10261910952084441	88/1	cosine	average
tip	0.20277305188520667	17	0.17320123878892177	0.09975591839916945	37/33/5/4/3/1/1/1/1/1/1/1/1/1/1/1/1	cosine	average
tree	0.0	36	0.10488479488034094	0.05616609073716207	99	cosine	average
twist	0.07843480452559651	33	0.18342267427879513	0.11276520023885343	50/13/11/7/3/2/2/2/1/1/1/1/1/1/1	cosine	average
